info_rest_id;info_rest_rating;info_rest_cuisine;info_rest_work_hours;rest_itn;rest_legal_address;rest_bank_account;mean_delivery_time
51;5;arabian;10:15-21:45;456-78-9012;Elm Road 53;4567890123;35
52;7;pergamon;11:45-20:15;012-34-5678;Birch Lane 10;6789012345;27
53;10;guatemalan;7:15-18:15;789-01-2345;Willow Drive 39;8901234567;21
54;4;afghan;12:15-22:45;345-67-8901;Sycamore Street 12;1234567890;43
55;9;croatian;9:15-20:45;678-90-1234;Magnolia Avenue 29;5432109876;28
56;3;bulgarian;8:45-23:45;210-98-7654;Spruce Lane 46;6789012345;4
57;6;georgian;10:45-19:45;567-89-0123;Hickory Road 21;8901234567;34
58;8;algerian;11:15-21:15;321-09-8765;Aspen Drive 66;2345678901;45
59;5;norwegian;7:45-18:45;876-54-3210;Cypress Lane 32;4567890123;1
60;7;syrian;12:45-22:15;234-56-7890;Juniper Street 4;7890123456;60
61;10;slovakian;9:30-20:30;890-12-3456;Redwood Road 17;3456789012;50
62;4;yemeni;8:00-23:30;456-78-9012;Poplar Lane 28;5678901234;19
63;9;kurdish;10:30-19:30;012-34-5678;Sassafras Drive 11;8901234567;15
64;3;cypriot;11:00-21:00;789-01-2345;Fir Street 55;1234567890;38
65;6;uzbek;7:30-18:30;345-67-8901;Chestnut Avenue 19;2345678901;42
66;8;singaporean;12:30-22:00;678-90-1234;Mulberry Lane 33;4567890123;33
67;5;catalan;9:45-22:15;210-98-7654;Dogwood Road 8;6789012345;8
68;7;lithuanian;8:15-23:15;567-89-0123;Beech Drive 42;7890123456;52
69;10;albanian;10:15-21:45;321-09-8765;Cottonwood Street 24;5432109876;46
70;4;slovenian;11:45-20:15;876-54-3210;Maple Avenue 16;8901234567;25
71;9;latvian;7:15-18:15;234-56-7890;Pine Street 41;1234567890;12
72;3;estonian;12:15-22:45;890-12-3456;Cedar Lane 19;4567890123;57
73;6;maltese;9:15-20:45;456-78-9012;Oak Street 37;7890123456;49
74;8;luxembourgish;8:45-23:45;012-34-5678;Elm Road 2;5678901234;11
75;5;andorran;10:45-19:45;789-01-2345;Birch Lane 27;8901234567;28
76;7;liechtensteiner;11:15-21:15;345-67-8901;Willow Drive 14;2345678901;41
77;10;monacan;7:45-18:45;678-90-1234;Sycamore Street 58;3456789012;9
78;4;san-marinese;12:45-22:15;210-98-7654;Magnolia Avenue 9;6789012345;55
79;9;vatican;9:00-22:00;567-89-0123;Spruce Lane 35;7890123456;6
80;3;bhutanese;8:30-23:00;321-09-8765;Hickory Road 24;1234567890;14
81;6;bruneian;10:00-21:30;876-54-3210;Aspen Drive 50;2345678901;36
82;8;burundian;11:30-20:00;234-56-7890;Cypress Lane 11;4567890123;17
83;5;comoran;7:00-18:00;890-12-3456;Juniper Street 26;5678901234;29
84;7;djiboutian;12:00-22:30;456-78-9012;Redwood Road 41;7890123456;58
85;10;eritrean;9:30-20:30;012-34-5678;Poplar Lane 5;8901234567;26
86;4;lesotho;8:00-23:30;789-01-2345;Sassafras Drive 30;5432109876;45
87;9;malawian;10:30-19:30;345-67-8901;Fir Street 22;9876543210;32
88;3;mauritian;11:00-21:00;678-90-1234;Chestnut Avenue 13;1234567890;23
89;6;namibian;7:30-18:30;210-98-7654;Mulberry Lane 47;4567890123;39
90;8;seychellois;12:30-22:00;567-89-0123;Dogwood Road 3;8901234567;50
91;5;swazi;9:45-22:15;321-09-8765;Beech Drive 31;2345678901;20
92;7;tanzanian;8:15-23:15;876-54-3210;Cottonwood Street 16;5678901234;3
93;10;zambian;10:15-21:45;234-56-7890;Maple Avenue 19;8901234567;47
94;4;zimbabwean;11:45-20:15;890-12-3456;Pine Street 36;1234567890;18
95;7;italian;7:15-18:15;456-78-9012;Cedar Lane 8;4567890123;53
96;3;russian;12:15-22:45;012-34-5678;Oak Street 43;7890123456;7
97;8;japanese;9:15-20:45;789-01-2345;Elm Road 12;5432109876;54
98;5;mexican;8:45-23:45;345-67-8901;Birch Lane 30;6789012345;16
99;10;indian;10:45-19:45;678-90-1234;Willow Drive 5;8901234567;21
